Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3002_1x2032,1,BC-2001,
BZ1,PassiveBuzzerSMD_JiangsuHuaneng_MLT-5030,1,MLT-5030,C95297
"C1, C3",0603,2,100nF,C14663
C2,0805,1,10uF,C15850
"D1, D10, D13, D18, D21, D24, D27, D30, D4, D7",0805,10,D-B080508B1-KS2,C108412
"D11, D14, D17, D2, D20, D23, D26, D29, D5, D8",0805,10,e17-21SURC/S530-A3/TR8,C72037
"D12, D15, D16, D19, D22, D25, D28, D3, D6, D9",0805,10,NCD0805G1,C84260
"Q1, Q2, Q3, Q4",SOT-23,4,BC817,C94412
Q5,SOT-23,1,MMBT3906,C111114
"R1, R15",0603,2,10K,C25804
"R10, R11, R12, R13, R14, R2, R3, R4, R5, R6, R7, R8, R9",0603,13,1K,C21190
SW1,SW_SPST_EVQP7A,1,EVQP7A,C79167
SW2,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Push,C191626
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V003F4P6,
